name,email,phone,subjects,grade_range,rate,location_pref,area,availability,experience,matric,applied_at
Thandiwe Mahlangu,thandiwe.mahlangu@gmail.com,071 555 1122,Mathematics,Gr 10-12,280,Online,"Sandton, JHB",Weekday afternoons,"BSc Mathematics (UCT), 5 years tutoring Grade 10-12 learners, average pass mark improvement of 20 percentage points, matric mathematics 92%.",yes,2024-09-12
Bongani Khumalo,bongani.khumalo@outlook.com,082 555 3344,Physical Science,Gr 10-12,300,In-person,"Pretoria East, PTA",Weekday evenings,"BEng Chemical Engineering (Wits), matric physical science 89%, 3 years private tutoring in physics and chemistry.",yes,2024-10-03
Aisha Patel,aisha.patel@gmail.com,073 555 5566,English,Gr 4-9,220,Online,"Durban North, DBN",Weekday mornings,"BA English (UKZN), 4 years tutoring primary and middle school English with a focus on comprehension and essay writing, matric English 88%.",yes,2024-11-18
Werner Botha,werner.botha@webmail.co.za,084 555 7788,Physical Science,Gr 10-12,320,Both,"Centurion, PTA","Weekday evenings, Saturdays","MSc Physics (UP) with published research, 6 years tutoring experience specialising in matric physical science, students improved by an average of 25 percentage points, matric physics 95%.",yes,2025-01-09
Precious Mthembu,precious.mthembu@gmail.com,079 555 9900,English;Life Sciences,Gr 10-12,240,Both,"Pietermaritzburg, KZN",Flexible,"BSc Life Sciences with English as a second major (UKZN), 2 years tutoring English essay writing and Life Sciences, matric English 81%, Life Sciences 76%.",yes,2025-02-21
Johan Pretorius,johan.pretorius@gmail.com,083 555 2233,Mathematics;Physical Science,Gr 10-12,260,Both,"Bellville, CPT",Weekends only,"3rd year Mechanical Engineering student (Stellenbosch), tutors maths and physics informally for classmates, matric maths 79%, matric physics 71%.",yes,2024-08-05
Naledi Dlamini,naledi.dlamini@gmail.com,071 555 4455,Afrikaans,Gr 4-9,180,In-person,"Soweto, JHB",Weekday mornings,"Home-language Afrikaans speaker, has helped younger siblings with homework, no formal tutoring experience.",no,2024-07-22
Kagiso Mokoena,kagiso.mokoena@gmail.com,072 555 6677,History;Geography,Gr 10-12,200,Online,"Polokwane, LIM",Weekday evenings,"BA History and Geography (UP), 1 year tutoring high school history, matric history 65%, matric geography 70%.",yes,2024-12-14
Zanele Ndlovu,zanele.ndlovu@gmail.com,076 555 8899,Mathematics,Gr 1-6,150,In-person,"Mitchells Plain, CPT",Weekday afternoons,"Recent matriculant awaiting university acceptance, has tutored primary-school cousins in basic maths, no formal experience yet.",no,2025-03-02
Sipho Radebe,,081 555 0011,,,,,"Rustenburg, NW",,,,2024-06-30
